SPECTRA_parameter,average,std,cross_split_overlap
0.0,0.8456054528554281,0.018920031925493404,0.17519000931845072
0.05,0.7403443853060404,0.02978017585680668,0.1605880581461628
0.1,0.7097031871477762,0.05046029715116446,0.15037535784425554
0.15,0.6731483538945516,0.09452595770191648,0.14646953077442462
0.2,0.6018779476483663,0.22185412830277149,0.14201148415536471
0.25,0.7348845601081848,0.10210628055383805,0.13718569091457813
0.3,0.502579391002655,0.08807981577840834,0.13719527127683684
0.35,0.5524691144625345,0.20544986514543012,0.12946381707593468
0.4,0.7063491940498352,0.11924586105715086,0.13374489348716243
0.45,0.7777777512868246,0.19245011267171372,0.1302332331771128
0.5,0.6380952199300131,0.0937986643482987,0.11923913897269496
0.55,0.17777777711550394,0.1677741023774061,0.1251578405989621
0.6,0.3888888756434123,0.34694431733705294,0.12367183492696654
0.65,0.3888888756434123,0.34694431733705294,0.12801786171505183
0.7,0.0,0.0,0.12733311487633717
0.75,0.16666666666666666,0.2886751345948129,0.13210308476652735
0.8,0.16666666666666666,0.2886751345948129,0.13286355280419568
0.85,0.0,0.0,0.15033281962150255
0.9,0.0,0.0,0.1114224645700258
0.95,0.0,,0.1338051303681173
