AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[1008, 144, 288]",0.9324699640274048,0.928572416305542,0.944808304309845,0.9504143595695496,0.938753604888916
0.00_1,"[1008, 144, 288]",0.8543367385864258,0.9340116381645203,0.8923528790473938,0.9281814098358154,0.9266613721847534
0.00_2,"[1008, 144, 288]",0.7946962118148804,0.7796188592910767,0.8579111099243164,0.9185894131660461,0.9098105430603027
0.05_0,"[530, 75, 152]",0.8653149604797363,0.8647321462631226,0.8725322484970093,0.8641865253448486,0.8963046073913574
0.05_1,"[522, 74, 150]",0.9448753595352173,0.8841730952262878,0.9429299831390381,0.8294671177864075,0.9559569358825684
0.05_2,"[511, 73, 147]",0.9266159534454346,0.8575084209442139,0.9175541400909424,0.8996734023094177,0.9053094387054443
0.10_0,"[290, 41, 83]",0.656410276889801,0.6027472019195557,0.583433210849762,0.5590243339538574,0.5474858283996582
0.10_1,"[297, 42, 85]",0.4217032790184021,0.8946887254714966,0.5013736486434937,0.45970696210861206,0.6547619104385376
0.10_2,"[280, 39, 80]",0.8848683834075928,0.875,0.8651316165924072,0.8256579041481018,0.8289474248886108
0.15_0,"[188, 26, 54]",0.5516339540481567,0.6621731519699097,0.5606698989868164,0.5627777576446533,0.6071895360946655
0.15_1,"[196, 28, 56]",0.6865066289901733,0.6564322710037231,0.6805603504180908,0.6249856948852539,0.6655231714248657
0.15_2,"[192, 27, 55]",0.7777777910232544,0.7592592835426331,0.7037036418914795,0.7962962985038757,0.5555555820465088
0.20_0,"[140, 20, 41]",0.706140398979187,0.39912280440330505,0.75,0.38596487045288086,0.7763158082962036
0.20_1,"[133, 19, 38]",0.4094594717025757,0.17786358296871185,0.6267696619033813,0.20289574563503265,0.19491633772850037
0.20_2,"[141, 20, 41]",0.4699561595916748,0.6326754093170166,0.6539473533630371,0.530701756477356,0.47127196192741394
0.25_0,"[97, 13, 28]",1.0,1.0,1.0,1.0,1.0
0.25_1,"[112, 15, 32]",0.29731184244155884,0.34623652696609497,0.29731184244155884,0.3379032015800476,0.32956987619400024
0.25_2,"[106, 15, 31]",0.050000011920928955,0.4833333492279053,0.4166666567325592,0.4333333373069763,0.3166666626930237
0.30_0,"[82, 11, 24]",0.260869562625885,0.30434781312942505,0.260869562625885,0.17391306161880493,0.260869562625885
0.30_1,"[88, 12, 25]",0.18478260934352875,0.18478260934352875,0.10869564116001129,0.18478260934352875,0.10869564116001129
0.30_2,"[84, 12, 24]",0.28260868787765503,0.260869562625885,0.30434781312942505,0.3478260934352875,0.17391304671764374
0.35_0,"[70, 9, 20]",0.736842155456543,0.6315789222717285,0.6842105388641357,0.5263158082962036,0.6842105388641357
0.35_1,"[67, 9, 19]",0.0,0.0,0.0,0.0,0.0
0.35_2,"[70, 9, 20]",0.2631579041481018,0.14473684132099152,0.1315789520740509,0.17105261981487274,0.10526316612958908
0.40_0,"[54, 7, 16]",0.23333331942558289,0.13333332538604736,0.23333331942558289,0.2666666507720947,0.23333331942558289
0.40_1,"[60, 8, 17]",0.5,0.5,0.3125,0.5,0.3125
0.40_2,"[56, 7, 16]",0.23333333432674408,0.3999999761581421,0.5333333015441895,0.5333333015441895,0.19999998807907104
0.45_0,"[50, 7, 15]",0.0714285671710968,0.0714285671710968,0.0714285671710968,0.0714285671710968,0.0714285671710968
0.45_1,"[48, 6, 14]",0.0,0.0,0.0,0.0,0.0
0.45_2,"[45, 6, 13]",0.8636363744735718,0.8636363744735718,0.8636363744735718,0.8636363744735718,0.8636363744735718
0.50_0,"[41, 5, 12]",0.0,0.0,0.0,0.0,0.0
0.50_1,"[42, 6, 12]",0.0,0.0,0.0,0.0,0.0
0.50_2,"[42, 5, 12]",1.0,1.0,1.0,1.0,1.0
0.55_0,"[35, 4, 10]",0.0,0.0,0.0,0.0,0.0
0.55_1,"[33, 4, 10]",0.0,0.0,0.0,0.0,0.0
0.55_2,"[35, 5, 10]",0.0,0.0,0.0,0.0,0.0
0.60_0,"[32, 4, 9]",0.0,0.0,0.0,0.0,0.0
0.60_1,"[28, 3, 8]",0.0,0.0,0.0,0.0,0.0
0.60_2,"[31, 4, 9]",0.25,0.25,0.25,0.125,0.25
0.65_0,"[25, 3, 7]",0.0,0.0,0.0,0.0,0.0
0.65_1,"[26, 3, 8]",0.0,0.0,0.0,0.0,0.0
0.65_2,"[25, 3, 7]",0.0,0.0,0.0,0.0,0.0
0.70_0,"[21, 2, 6]",0.0,0.0,,,
0.70_1,"[21, 3, 6]",0.0,,,,
0.70_2,"[21, 3, 7]",1.0,1.0,1.0,1.0,1.0
0.75_0,"[18, 2, 5]",1.0,1.0,1.0,1.0,1.0
0.75_1,"[19, 2, 6]",0.0,0.0,0.0,0.0,0.0
0.75_2,"[18, 2, 6]",0.0,0.0,0.0,0.0,0.0
0.80_0,"[15, 2, 5]",,,,,
0.80_1,"[16, 2, 5]",0.0,,,,
0.80_2,"[14, 2, 5]",,,,,
0.85_0,"[14, 2, 4]",,,,,
0.85_1,"[13, 1, 4]",,,,,
0.85_2,"[14, 2, 4]",,,,,
