RMSE,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
0.00_0,"[2940, 420, 840]",0.5721050500869751,0.5836408734321594,0.6378281116485596,0.5749350190162659,0.5869519710540771
0.00_1,"[2940, 420, 840]",0.5411585569381714,0.5532903671264648,0.5405372977256775,0.5475306510925293,0.5309083461761475
0.00_2,"[2940, 420, 840]",0.49720463156700134,0.463021457195282,0.47889477014541626,0.4665888547897339,0.46386274695396423
0.05_0,"[980, 140, 280]",0.720747709274292,0.7254635691642761,0.7121050357818604,0.72891765832901,0.7484789490699768
0.05_1,"[994, 142, 285]",0.6578385829925537,0.7052332162857056,0.7040933966636658,0.7444983720779419,0.7109699845314026
0.05_2,"[986, 140, 282]",0.7935205101966858,0.8114661574363708,0.8689413070678711,0.8384297490119934,0.7861068844795227
0.10_0,"[473, 67, 136]",0.7700031399726868,0.7330105304718018,0.7006059885025024,0.7144126296043396,0.7771129012107849
0.10_1,"[496, 70, 142]",0.8073195219039917,0.7587132453918457,0.808837890625,0.7487995028495789,0.7622231245040894
0.10_2,"[486, 69, 139]",0.8671802878379822,0.7466161251068115,0.919240415096283,0.8252297043800354,0.7848515510559082
0.15_0,"[292, 41, 84]",1.021091103553772,0.9674394130706787,0.9806291460990906,0.896320641040802,1.103507161140442
0.15_1,"[284, 40, 82]",1.1623461246490479,1.077804446220398,1.0709108114242554,1.0900094509124756,1.0746420621871948
0.15_2,"[284, 40, 81]",1.092954158782959,1.1448323726654053,1.0102206468582153,1.0331212282180786,1.038535714149475
0.20_0,"[199, 28, 57]",1.0404945611953735,1.0772761106491089,1.186544418334961,1.158203125,1.1559501886367798
0.20_1,"[203, 28, 58]",1.2666312456130981,1.2507339715957642,1.2818784713745117,1.2609131336212158,1.312601089477539
0.20_2,"[189, 27, 55]",1.2052481174468994,1.187604308128357,1.1499545574188232,1.1908254623413086,1.1893749237060547
0.25_0,"[126, 18, 36]",1.2864208221435547,1.3020415306091309,1.4867761135101318,1.2894402742385864,1.3917704820632935
0.25_1,"[140, 20, 40]",1.332087516784668,1.3358256816864014,1.3088984489440918,1.3284871578216553,1.3315287828445435
0.25_2,"[143, 20, 41]",1.2575701475143433,1.1312669515609741,1.223122000694275,1.1607857942581177,1.2082915306091309
0.30_0,"[109, 15, 32]",1.3472800254821777,1.267928123474121,1.2946211099624634,1.3052053451538086,1.3265424966812134
0.30_1,"[110, 15, 32]",0.9710454344749451,1.0375401973724365,1.0803310871124268,1.0235861539840698,0.9866127371788025
0.30_2,"[103, 14, 30]",1.4552751779556274,1.3721628189086914,1.3871885538101196,1.1394495964050293,1.4325523376464844
0.35_0,"[78, 11, 23]",1.1649372577667236,1.1613966226577759,1.4211859703063965,1.1449757814407349,1.154967188835144
0.35_1,"[87, 12, 25]",1.4659420251846313,1.3571586608886719,1.5083842277526855,1.4835439920425415,1.5815937519073486
0.35_2,"[78, 11, 23]",1.6020641326904297,1.592472791671753,1.6163803339004517,1.6042194366455078,1.5933923721313477
0.40_0,"[61, 8, 18]",1.0219873189926147,0.9654446244239807,1.0840171575546265,0.9723182320594788,1.1920559406280518
0.40_1,"[60, 8, 17]",1.2939581871032715,1.2954641580581665,1.292931079864502,1.2927552461624146,1.297004222869873
0.40_2,"[66, 9, 19]",1.4840117692947388,1.4890846014022827,1.496716022491455,1.4889891147613525,1.4830365180969238
0.45_0,"[55, 7, 16]",1.7131009101867676,1.7240475416183472,1.6748708486557007,1.8339606523513794,1.993839979171753
0.45_1,"[49, 7, 14]",0.9025388956069946,0.9148988127708435,0.8963578343391418,0.896307647228241,0.9155645370483398
0.45_2,"[46, 6, 14]",1.2292691469192505,1.2355893850326538,1.2205771207809448,1.2219295501708984,1.236150860786438
0.50_0,"[37, 5, 11]",1.1459883451461792,1.1591322422027588,1.1543030738830566,1.161792516708374,1.1497234106063843
0.50_1,"[37, 5, 11]",1.078309416770935,1.1035075187683105,1.093245029449463,1.1132326126098633,1.1003621816635132
0.50_2,"[42, 5, 12]",1.0977680683135986,1.1146047115325928,1.0816348791122437,1.0793766975402832,1.1151707172393799
0.55_0,"[32, 4, 9]",1.1092665195465088,1.277520775794983,1.133941411972046,1.1108925342559814,1.1904428005218506
0.55_1,"[39, 5, 11]",1.3854563236236572,1.3853214979171753,1.3864115476608276,1.386352777481079,1.385432243347168
0.55_2,"[30, 4, 9]",1.0682251453399658,1.000515103340149,1.0687744617462158,1.0796949863433838,1.1129968166351318
0.60_0,"[26, 3, 8]",1.4097291231155396,1.3979519605636597,1.424890398979187,1.4284439086914062,1.3970311880111694
0.60_1,"[25, 3, 8]",0.7041026949882507,0.6655672192573547,0.6456564664840698,0.6982914209365845,0.7238309979438782
0.60_2,"[25, 3, 8]",1.0280221700668335,0.9456838965415955,0.9866937398910522,1.0120970010757446,0.9945789575576782
0.65_0,"[22, 3, 7]",1.4417458772659302,1.3721562623977661,1.333756923675537,1.3405611515045166,1.4787170886993408
0.65_1,"[21, 2, 6]",1.1022522449493408,1.0920765399932861,1.1193292140960693,1.4867266416549683,1.1815919876098633
0.65_2,"[21, 3, 6]",1.3715916872024536,1.3012285232543945,1.2867716550827026,1.3912206888198853,1.5609748363494873
0.70_0,"[14, 2, 5]",1.8376150131225586,2.725750684738159,1.8865381479263306,1.8777049779891968,1.8453253507614136
0.70_1,"[18, 2, 5]",1.2268041372299194,1.2459083795547485,1.1928836107254028,1.197152853012085,1.2470096349716187
0.70_2,"[18, 2, 6]",1.268074631690979,1.0888043642044067,1.0522348880767822,1.2520318031311035,1.1594102382659912
0.75_0,"[14, 2, 4]",0.7815179824829102,0.8846797347068787,0.8190235495567322,0.8442932963371277,1.0853993892669678
0.75_1,"[14, 1, 4]",,,,,
0.75_2,"[14, 2, 5]",1.8046008348464966,1.7586795091629028,1.8375791311264038,1.8332645893096924,1.7912629842758179
0.80_0,"[10, 1, 3]",,,,,
0.80_1,"[12, 1, 4]",,,,,
0.80_2,"[11, 1, 3]",,,,,
0.85_0,"[7, 1, 3]",,,,,
0.85_1,"[8, 1, 3]",,,,,
0.85_2,"[10, 1, 3]",,,,,
0.90_0,"[7, 0, 2]",,,,,
0.90_1,"[7, 1, 2]",,,,,
0.90_2,"[8, 1, 3]",,,,,
0.95_1,"[5, 0, 2]",,,,,
0.95_2,"[6, 0, 2]",,,,,
