dataset,split_type,split_num,model,roc_auc,root_mean_squared_error
bace,spectra_tanimoto,0.00_0,LogReg,0.9054453262786597,
bace,spectra_tanimoto,0.00_0,RF,0.9114197530864198,
bace,spectra_tanimoto,0.00_0,XGB,0.9001984126984126,
bace,spectra_tanimoto,0.00_0,SVM,0.9028880070546736,
bace,spectra_tanimoto,0.00_1,LogReg,0.8753703380968979,
bace,spectra_tanimoto,0.00_1,RF,0.9096157197629837,
bace,spectra_tanimoto,0.00_1,XGB,0.8792262112234228,
bace,spectra_tanimoto,0.00_1,SVM,0.9002701289647961,
bbbp,spectra_tanimoto,0.00_0,LogReg,0.8805194805194804,
bbbp,spectra_tanimoto,0.00_0,RF,0.8858670741023684,
bbbp,spectra_tanimoto,0.00_0,XGB,0.86524064171123,
bbbp,spectra_tanimoto,0.00_0,SVM,0.874025974025974,
bbbp,spectra_tanimoto,0.00_1,LogReg,0.8973884579805024,
bbbp,spectra_tanimoto,0.00_1,RF,0.9072262150430515,
bbbp,spectra_tanimoto,0.00_1,XGB,0.877766313242724,
bbbp,spectra_tanimoto,0.00_1,SVM,0.903863943641927,
delaney,spectra_tanimoto,0.00_0,KRR,,1.741212989368801
delaney,spectra_tanimoto,0.00_0,LinReg,,2.095535734512225
delaney,spectra_tanimoto,0.00_1,KRR,,1.7034301754598273
delaney,spectra_tanimoto,0.00_1,LinReg,,2.078628954924483
freesolv,spectra_tanimoto,0.00_0,KRR,,3.536910567181665
freesolv,spectra_tanimoto,0.00_0,LinReg,,3.9428342204516413
freesolv,spectra_tanimoto,0.00_1,KRR,,3.221687639405254
freesolv,spectra_tanimoto,0.00_1,LinReg,,3.713901099470994
lipo,spectra_tanimoto,0.00_0,KRR,,1.0647181132234178
lipo,spectra_tanimoto,0.00_0,LinReg,,1.249518310772036
lipo,spectra_tanimoto,0.00_1,KRR,,1.0023001816638433
lipo,spectra_tanimoto,0.00_1,LinReg,,1.1662304257040481
sider,spectra_tanimoto,0.00_0,LogReg,0.6361191075776916,
sider,spectra_tanimoto,0.00_0,RF,0.6559657523766974,
sider,spectra_tanimoto,0.00_0,XGB,0.6265008873430156,
sider,spectra_tanimoto,0.00_0,SVM,0.6647838180883497,
sider,spectra_tanimoto,0.00_1,LogReg,0.6079876683547126,
sider,spectra_tanimoto,0.00_1,RF,0.6605633000699733,
sider,spectra_tanimoto,0.00_1,XGB,0.6399467381510612,
sider,spectra_tanimoto,0.00_1,SVM,0.6176130239981356,
tox21,spectra_tanimoto,0.00_0,LogReg,0.7675063180178728,
tox21,spectra_tanimoto,0.00_0,RF,0.8139322997002479,
tox21,spectra_tanimoto,0.00_0,XGB,0.7822849557840913,
tox21,spectra_tanimoto,0.00_0,SVM,0.7982504507653405,
tox21,spectra_tanimoto,0.00_1,LogReg,0.7886730074593177,
tox21,spectra_tanimoto,0.00_1,RF,0.8257125580649154,
tox21,spectra_tanimoto,0.00_1,XGB,0.7950683463003275,
tox21,spectra_tanimoto,0.00_1,SVM,0.8239030777236825,
