dataset,split_type,split_num,model,root_mean_squared_error
delaney,random,0,KRR,1.7850625634567547
delaney,random,0,LinReg,2.12179707815465
delaney,random,1,KRR,1.7904332034725117
delaney,random,1,LinReg,2.0740960745404857
delaney,random,2,KRR,1.7238171359911327
delaney,random,2,LinReg,2.0468090654746582
delaney,random,3,KRR,1.7000830099529192
delaney,random,3,LinReg,2.0689463676997333
delaney,random,4,KRR,1.8630399712030241
delaney,random,4,LinReg,2.201326311243194
delaney,scaffold,0,KRR,2.006912546011317
delaney,scaffold,0,LinReg,2.276950398523401
delaney,scaffold,1,KRR,2.028801593264612
delaney,scaffold,1,LinReg,2.2819489544469174
delaney,scaffold,2,KRR,2.0016595596566313
delaney,scaffold,2,LinReg,2.254125074775465
delaney,scaffold,3,KRR,2.0145940202420007
delaney,scaffold,3,LinReg,2.259573803960529
delaney,scaffold,4,KRR,1.984118000782596
delaney,scaffold,4,LinReg,2.242327106329832
delaney,umap,0,KRR,2.0799146276681633
delaney,umap,0,LinReg,2.2209320534182555
delaney,umap,1,KRR,2.0573665439637643
delaney,umap,1,LinReg,2.4079229719127078
delaney,umap,2,KRR,2.3917156278319323
delaney,umap,2,LinReg,2.61037269170104
delaney,umap,3,KRR,1.6524058014315757
delaney,umap,3,LinReg,2.011161155494222
delaney,umap,4,KRR,2.1049336016036286
delaney,umap,4,LinReg,2.2748243097994734
freesolv,random,0,KRR,3.007390443265551
freesolv,random,0,LinReg,3.472752217162687
freesolv,random,1,KRR,3.9954381536275805
freesolv,random,1,LinReg,4.439464656402508
freesolv,random,2,KRR,3.4157183429305236
freesolv,random,2,LinReg,3.8574957962270475
freesolv,random,3,KRR,3.2945915779898227
freesolv,random,3,LinReg,3.745031695017424
freesolv,random,4,KRR,3.6743413836753356
freesolv,random,4,LinReg,4.12074629635307
freesolv,scaffold,0,KRR,5.428043881722497
freesolv,scaffold,0,LinReg,5.640615322165395
freesolv,scaffold,1,KRR,5.445186954337105
freesolv,scaffold,1,LinReg,5.676854081833503
freesolv,scaffold,2,KRR,5.484084431077801
freesolv,scaffold,2,LinReg,5.712070005853141
freesolv,scaffold,3,KRR,5.460049857447048
freesolv,scaffold,3,LinReg,5.692171399611661
freesolv,scaffold,4,KRR,5.461986850856068
freesolv,scaffold,4,LinReg,5.683944352634872
freesolv,umap,0,KRR,2.889030566603572
freesolv,umap,0,LinReg,3.4442596837584247
freesolv,umap,1,KRR,2.7143037217314876
freesolv,umap,1,LinReg,3.1952542210301726
freesolv,umap,2,KRR,2.731099733873784
freesolv,umap,2,LinReg,3.2993990860176985
freesolv,umap,3,KRR,2.8243826998731048
freesolv,umap,3,LinReg,3.399369610115765
freesolv,umap,4,KRR,2.926805291358698
freesolv,umap,4,LinReg,3.553388710423248
lipo,random,0,KRR,1.0094762396027879
lipo,random,0,LinReg,1.2056971954548064
lipo,random,1,KRR,1.0480075314526165
lipo,random,1,LinReg,1.236460893742069
lipo,random,2,KRR,0.9964669610726957
lipo,random,2,LinReg,1.1824111523773073
lipo,random,3,KRR,1.006599419738782
lipo,random,3,LinReg,1.205773122529093
lipo,random,4,KRR,1.0569836360093665
lipo,random,4,LinReg,1.2172218290417895
lipo,scaffold,0,KRR,1.0372820212294493
lipo,scaffold,0,LinReg,1.1716608712166163
lipo,scaffold,1,KRR,1.0356026047021176
lipo,scaffold,1,LinReg,1.1704265718057214
lipo,scaffold,2,KRR,1.03880906508997
lipo,scaffold,2,LinReg,1.1693319695589552
lipo,scaffold,3,KRR,1.0421929168791861
lipo,scaffold,3,LinReg,1.1714183740874984
lipo,scaffold,4,KRR,1.0379751187865864
lipo,scaffold,4,LinReg,1.1707439924995986
lipo,umap,0,KRR,0.9459112707699422
lipo,umap,0,LinReg,1.106680455078553
lipo,umap,1,KRR,1.042516226634282
lipo,umap,1,LinReg,1.159314520509571
lipo,umap,2,KRR,0.8272913396517287
lipo,umap,2,LinReg,0.9718413041131939
lipo,umap,3,KRR,1.3355469006244547
lipo,umap,3,LinReg,1.391953200492612
lipo,umap,4,KRR,1.1522774224608618
lipo,umap,4,LinReg,1.237289857406592
